Agente,Ponto / Grupo,Data,Hora,Ativa C (kWh),Ativa G (kWh),Qualidade,Origem
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,1,0,1089.72,Completo,COLETA DIÁRIA
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,2,0,1090.09,Completo,COLETA DIÁRIA
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,3,0,1090.33,Completo,COLETA DIÁRIA
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,4,0,1090.50,Completo,COLETA DIÁRIA
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,5,0,1090.07,Completo,COLETA DIÁRIA
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,6,0,1092.32,Completo,COLETA DIÁRIA
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,7,0,1093.36,Completo,COLETA DIÁRIA
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,8,1.106,1015.29,Completo,COLETA DIÁRIA
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,9,0,1092.35,Completo,COLETA DIÁRIA
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,10,0,1089.90,Completo,COLETA DIÁRIA
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,11,0.403,1052.84,Completo,COLETA DIÁRIA
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,12,0,1208.14,Completo,COLETA DIÁRIA
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,13,0,1262.37,Completo,COLETA DIÁRIA
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,14,0,1260.97,Completo,COLETA DIÁRIA
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,15,0,1259.93,Completo,COLETA DIÁRIA
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,16,0,1259.89,Completo,COLETA DIÁRIA
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,17,0,1262.69,Completo,COLETA DIÁRIA
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,18,0,2010.81,Completo,COLETA DIÁRIA
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,19,0,2390.23,Completo,COLETA DIÁRIA
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,20,0,2215.25,Completo,COLETA DIÁRIA
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,21,0,2211.69,Completo,COLETA DIÁRIA
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,22,0,2212.64,Completo,COLETA DIÁRIA
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,23,0,2218.13,Completo,COLETA DIÁRIA
ABRANJO I,RSECZSUABJ-02 (L),01/01/2020,24,0,2217.63,Completo,COLETA DIÁRIA
